job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
SAP SD Sales & Distribution Software Development Engineer,Accenture,4.1,(26528 Reviews),4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"Educational Qualification : 16 yrs of Regular education, BE or Bachelors degree in busi...","Consulting
Troubleshooting
Information Technology
SAP ECC
Sales
SAP SD
Conflict resolution
Analytical",30+ DAYS AGO
SAP Governance Risk & Compliance GRC Software Development Engineer,Accenture,4.1,(26528 Reviews),2-4 Yrs,Not disclosed,Hyderabad/Secunderabad,Professional Attributes : 1 Very good interpersonal skills 2 Good technical writing ski...,"Access control
SAP ECC
Interpersonal skills
Technical writing
Consulting
User administration
Application security
SAP application",30+ DAYS AGO
Information Technology Team Lead - Node.js,UPLERS SOLUTIONS PRIVATE LIMITED,4.4,(208 Reviews),3-8 Yrs,"25,00,000 - 35,00,000 PA.","Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",This position requires extensive experience of various programming skills like JavaScri...,"PHP
Node.Js
React.Js
IT Skills
Cloud
DevOps
Javascript
AWS",30+ DAYS AGO
Delivery Head Information Technology,Santech Technosoft Pvt Ltd,1.5,(9 Reviews),13-21 Yrs,Not disclosed,Jaipur,"Roles and Responsibilities To ensure that all projects are delivered on-time, within sc...","Project Management
agile
Delivery Management
IT Skills
Cloud
.Net
pmo
Delivery Leadership",30+ DAYS AGO
Urgent Opening_ Associate Software Engineer (C/JAVA/ML),Compass Systems Private Limited,4.2,(11 Reviews),28-May,"4,50,000 - 6,50,000 PA.",Noida,"Welcoming BTech / MCA, 2020 / 2021/2022 Fresh Graduates from CS / IT/ECE maintaining th...","Java
C++
Core Java
Software Engineering
Shell Scripting
IT Skills
Software Development
Machine Learning",1 DAY AGO
Trainee - Software Engineer (Only FY-21/22 B.Tech freshers),IDEMIA,3.8,(269 Reviews),0-0 Yrs,Not disclosed,"Noida, Bangalore/Bengaluru, Delhi / NCR",Fresh B Tech Graduates - Computer Science / IT streams onlyIn addition to his technical...,"Java
C++
Programming
CSS
Web Technologies
MySQL
Javascript
HTML",23 DAYS AGO
"Software Engineering & Technology Manager (C#, Spark)",ZS Associates India Pvt Ltd,3.8,(685 Reviews),10-15 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru",Roles and Responsibilities Manage a team of top-notch software developers to build prod...,"C#
IT Skills
Software Development
Testing
MS SQL
Software Engineering
spark
Technical Manager",25 DAYS AGO
Software Engineering & Technology Manager,ZS Associates India Pvt Ltd,3.8,(685 Reviews),10-15 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru","Development experience with a modern web application platform, ideally with Java3+ year...","Java
IT Skills
Software Development
Testing
Cloud
AWS
Software Engineering
Continuous Integration",25 DAYS AGO
"Software Engineering & Technology Manager (Python, BigData, Spark)",ZS Associates India Pvt Ltd,3.8,(685 Reviews),10-15 Yrs,Not disclosed,Bangalore/Bengaluru,"Development experience with a modern web application platform, ideally with Pythom, spa...","Development Manager
Technical Manager
BigData
Engineering Manager
Spark
Python",25 DAYS AGO
Software Engineer 3,Lucideus,2.9,(17 Reviews),2-6 Yrs,Not disclosed,"Mumbai, Kala",• Product deployment at client sites • Coordinating with clients towards the end- to- e...,"IT Skills
Python
PHP
server
bca
Automation
development
Networking",30+ DAYS AGO
Software Engineer I,Rocket Software,4.5,(24 Reviews),2-6 Yrs,Not disclosed,Pune,"Bachelors degree in Computer Science, Information technology or related field Proficien...","Javascript
cloud
IT Skills
Software Development
Mainframe
Computer science
Operating systems
Information security",10 DAYS AGO
Software Engineer 3,Lucideus Tech Pvt Ltd,2.9,(17 Reviews),1-5 Yrs,Not disclosed,Mumbai,Job Description Location - Delhi & Mumbai Your Daily Dose: Product deployment at client...,"server
bca
Automation
development
Networking
configuration
Web hosting
Apache",30+ DAYS AGO
Software Engineer II,Microsoft,4.3,(664 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelor s or masters degree in Computer Science, Information Technology, or related fi...","IT Skills
Java
Big Data
Computer science
Cloud computing
Automation
Networking
GCP",21 DAYS AGO
Software Engineer - Test,Blackboard Inc.,4,(5 Reviews),3-4 Yrs,Not disclosed,Chennai,At least 3 years of experience with testing on web applications 4 years of experience w...,"Computer science
E-learning
Content management
Automation
Front end
Javascript
Agile
Test cases",8 DAYS AGO
Specialist software engineer -support,Societe Generale,3.9,(1100 Reviews),2-7 Yrs,Not disclosed,Bangalore/Bengaluru,ResponsibilitiesThe Production analyst should posses strong analytical skills and good ...,"SQL
IT Skills
DevOps
Retail Banking
High Availability
Self Service
Software Engineering
Trade Union",10 DAYS AGO
L-2 Wintel Engineer - Software Solutions Pvt Ltd,Remote Software Solutions,3.4,(9 Reviews),3-8 Yrs,Not disclosed,Panaji/Panjim,"Experience 3 to 8 years Reporting to Team Manager, the L-2 Service Desk Engineer is res...","IT Skills
AWS
Azure
VMware
Ticketing
French
Network administration
Windows",30+ DAYS AGO
Software Technical Support Engineer,Aeries Technology Group,4.2,(98 Reviews),3-6 Yrs,Not disclosed,Bangalore/Bengaluru,About the Role: Stratus Technologies is seeking a Technical Support Engineer to join a ...,"customer service
troubleshooting
Windows server
communication
written
VMWARE
verbal
Linux",30+ DAYS AGO
Sr . Software Engineer,Visa,4.2,(71 Reviews),4-8 Yrs,Not disclosed,Bangalore/Bengaluru,The Client Systems team develops and supports Visas contact center and client support a...,"IT Skills
Testing
Performance tuning
Software design
Manager Quality Assurance
Test scripts
UML
Agile",30+ DAYS AGO
"Senior Software Engineer, Fusion 360",AutoCAD,4.5,(80 Reviews),5-10 Yrs,Not disclosed,Pune,The role is with one of the Fusion 360 teams in the Design and Manufacturing Organizati...,"IT Skills
Cloud
Node.js
Javascript
Computer science
C++
Front end
OOAD",30+ DAYS AGO
Senior Software Engineer,AutoCAD,4.5,(80 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Must have a strong understanding of SAP BRIM functionalities across CRM, CC and CI-Bill...","IT Skills
Testing
Cloud
SAP
Process design
Test scripts
Accounting
Billing",30+ DAYS AGO
"Senior Software Engineer, API Strategy",Dun & Bradstreet,4,(157 Reviews),3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"Bachelor s degree in Computer Science, Information Technology, Engineering or equivalen...","IT Skills
Testing
Cloud
AWS
Computer science
Object oriented design
Performance tuning
Data processing",30+ DAYS AGO
Senior Software Engineer,AutoCAD,4.5,(80 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,You will not only maintain and improve CRTs existing high-volume batch-based Linux run-...,"S4 HANA
OpenText Exstream
SAP
IT Skills
Content management
Linux
Architecture
Content Author",30+ DAYS AGO
Sr Software Engineer - Devops,Ivanti,4.1,(15 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"As a member of a product team, this position will be assisting other engineering teams ...","Automation
devops
Configuration management
Scrum
Windows
Visual Studio
Information technology
SQL",30+ DAYS AGO
Fresher - Trainee Software Engineer,Mobiloitte Technologies India Pvt. Ltd.,2.6,(145 Reviews),0-2 Yrs,Not disclosed,New Delhi,Good logical and problem solving skills Should be a team player and positive attitude C...,"Ionic
Blockchain
Mean Stack
iOS
Net
PHP
Android
ML",2 DAYS AGO
Software Engineer,Virtual Engineering Services,3.7,(11 Reviews),0-2 Yrs,Not disclosed,Delhi / NCR,You have a bachelors degree in computer science or related field with excellent academi...,".NET
IT Skills
Software Development
Testing
Angularjs
CSS
.Net Core
C++",5 DAYS AGO
SFDC Developer Engineer,NTT DATA,4,(7279 Reviews),3-5 Yrs,Not disclosed,Noida,"5 years hands on experience on configuring, customizing, and developing Salesforce.com ...","Computer science
Analytical
Eclipse
Salesforce.com
Application development
Visual Studio
Troubleshooting
JIRA",30+ DAYS AGO
Manager - Software Engineering,Aeries Technology Group,4.2,(98 Reviews),10-15 Yrs,Not disclosed,Bangalore/Bengaluru,Requirements 10 years of experience in the software development space. 3 years of exper...,"Java
AWS
C#
IT Skills
Software Development
Computer science
Cloud computing
Loans",30+ DAYS AGO
Intern - Software Engineering (Web Development),Planys Technologies Private Limited,4.6,(8 Reviews),0-1 Yrs,Not disclosed,"New Delhi, Chennai",A Web Developer must have 1+ years of experience in the planning and the delivery of we...,"Data Structures
Javascript
Web Development
IT Skills
PHP
Testing
Performance Testing
Angularjs",18 DAYS AGO
Staff Software Engineer,Visa,4.2,(71 Reviews),5-6 Yrs,Not disclosed,Bangalore/Bengaluru,8 years of work experience with a bachelor s degree or at least 5 years of work experie...,"Post merger integration
tableau
Legal compliance
Office equipment
Analytical
Corporate
microsoft
Open source",15 DAYS AGO
Senior Software Engineer ( Java ),Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),4-9 Yrs,Not disclosed,Pune,"Technical Skills:OOPS, Java, J2EE, Spring MVC, Spring Boot, Spring security and Spring ...","Engineering services
SAN
Backend
Networking
XML
JSP
Java Software Engineer
HTTP",30+ DAYS AGO
Senior Software Engineer ( Java ),Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),4-9 Yrs,Not disclosed,Pune,Analyze user needs & develop technical software solutions for middle tier and informati...,"Product management
SAN
Agile
Data structures
Informatica
Customer service
Oracle
Information technology",10 DAYS AGO
Senior Software Engineer ( BI ),Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),4-9 Yrs,Not disclosed,Pune,Required Skills Experience of 4+ years Solid experience with Informatica/ETA/Pentaho Ex...,"ETA
Tableau
Informatica
Looker
warehouse
Pentaho
IT Skills
Engineering services",10 DAYS AGO
Senior Software Engineer,Infostretch solutions Pvt. Ltd.,3.6,(147 Reviews),5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Tools & Technologies o 5 to 7 years strong Backend development experience Software deve...,"Airflow Agile
Java
Apache Spark
communication
Apache Flink
Golang
Python
AWS",10 DAYS AGO
Software Developer,NTT DATA,4,(7279 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelors degree (Computer Science / Information Technology / Electronics & Communicati...,"Telecom
Front end
Linux
Coding
XML
Javascript
JSON
Windows",9 DAYS AGO
Senior Solutions Engineer,Vmware,4.3,(363 Reviews),5-10 Yrs,Not disclosed,New Delhi,"Degree, Master / Bachelor in Information Systems, Computer Sciences or advanced industr...","IT Skills
Cloud
Salesforce
VMware
Cloud computing
Automation
Networking
Enterprise applications",30+ DAYS AGO
"Associate Engineer, Software Development",Ingram Micro,3.9,(477 Reviews),2-5 Yrs,Not disclosed,Mumbai,Bachelor s degree from an accredited University Proficient with CRM SDK Tools Experienc...,"jQuery
Web technologies
SOA
Javascript
Information technology management
power bi
WCF
SDK",30+ DAYS AGO
Software Development Manager,BASAWA TECHNOLOGIES LTD.,3.5,(3 Reviews),0-5 Yrs,"2,00,000 - 3,00,000 PA.",Delhi / NCR,Young enthusiast freshers are required as trainees for Java / Android application softw...,"application software
C++
java
Coding And Development
programming
development
Android application
IT Skills",15 DAYS AGO
SAP ABAP Development For HANA Software Configuration Engineer,Accenture,4.1,(26528 Reviews),8-10 Yrs,Not disclosed,Gurgaon/Gurugram,Technical Experience : Candidate should have minimum 8 years of experience in SAP ABAP ...,"Business process
Process design
SAP ABAP
Configuration management
Consulting
SAP
IT Skills
Networking",11 DAYS AGO
"Intern, Software Developer (PDMS-DPM-Engineering)",AutoCAD,4.5,(80 Reviews),0-1 Yrs,Not disclosed,Pune,Bachelor / Master of Engineering with major in: Computer Science / Mechanical / Civil /...,"mySQL
Java
Vue
Angular
DBMS
MongoDB
Node js Stack
React",30+ DAYS AGO
Software Defined Network Implementation Infrastructure Engineer,Accenture,4.1,(26528 Reviews),4-6 Yrs,Not disclosed,Gurgaon/Gurugram,"Professional Attributes : Good analytical, troubleshooting and problem-solving skillsGo...","Checkpoint
communication
Software Defined Network Implementation
Network Security Operations
analytical
troubleshooting
F5 LTM
Accenture Delivery Methods",30+ DAYS AGO
Software Engineer - Trainee,FINOIT TECHNOLOGIES (I) PRIVATE LIMITED,4.5,(56 Reviews),0-0 Yrs,Not disclosed,Noida,Job Location: Noida / Work From HomeFinoit is looking to recruit software graduates (20...,"Trainee Software Developer
Trainee
Fresher Software Developer
ECE
Computer Science
B.E
Fresher
IT Fresher",12 DAYS AGO
Software Engineer,HCL Technologies,3.8,(19170 Reviews),0-5 Yrs,Not disclosed,Nagpur,Please note that the applicants should have a government provided address proof from an...,software engineering,5 DAYS AGO
Job Opportunity|| Trainee Software Engineer|| Nirvana Solutions||,NIRVANA SOLUTIONS INDIA PRIVATE LIMITED,3.8,(29 Reviews),0-1 Yrs,"3,00,000 - 5,50,000 PA.",Gurgaon/Gurugram,5 Days Working with flexibility of work from home / hybrid working modelCandidates will...,"Application Programming
Software Development
c#
Software Services
software engineering
programming",11 DAYS AGO
SAP Fiori/UI5 & Responsive Design Architecture Software Development,Accenture,4.1,(26528 Reviews),6-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"Educational Qualification : 16 yrs of Regular education, BE or Bachelors degree in busi...","Analytical
Consulting
SAP Basis
Information technology
System monitoring
Java
SAP Database
UI5",11 DAYS AGO
"Software Engineering & Technology Manager (C#, Spark)",ZS Associates India Pvt Ltd,3.8,(685 Reviews),10-15 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru",Roles and Responsibilities Manage a team of top-notch software developers to build prod...,"C#
IT Skills
Software Development
Testing
MS SQL
Software Engineering
spark
Technical Manager",25 DAYS AGO
Software Engineering & Technology Manager,ZS Associates India Pvt Ltd,3.8,(685 Reviews),10-15 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru","Development experience with a modern web application platform, ideally with Java3+ year...","Java
IT Skills
Software Development
Testing
Cloud
AWS
Software Engineering
Continuous Integration",25 DAYS AGO
"Software Engineering & Technology Manager (Python, BigData, Spark)",ZS Associates India Pvt Ltd,3.8,(685 Reviews),10-15 Yrs,Not disclosed,Bangalore/Bengaluru,"Development experience with a modern web application platform, ideally with Pythom, spa...","Development Manager
Technical Manager
BigData
Engineering Manager
Spark
Python",25 DAYS AGO
Software Engineer 3,Lucideus,2.9,(17 Reviews),2-6 Yrs,Not disclosed,"Mumbai, Kala",• Product deployment at client sites • Coordinating with clients towards the end- to- e...,"IT Skills
Python
PHP
server
bca
Automation
development
Networking",30+ DAYS AGO
Software Engineer I,Rocket Software,4.5,(24 Reviews),2-6 Yrs,Not disclosed,Pune,"Bachelors degree in Computer Science, Information technology or related field Proficien...","Javascript
cloud
IT Skills
Software Development
Mainframe
Computer science
Operating systems
Information security",10 DAYS AGO
Software Engineer 3,Lucideus Tech Pvt Ltd,2.9,(17 Reviews),1-5 Yrs,Not disclosed,Mumbai,Job Description Location - Delhi & Mumbai Your Daily Dose: Product deployment at client...,"server
bca
Automation
development
Networking
configuration
Web hosting
Apache",30+ DAYS AGO
Software Engineer II,Microsoft,4.3,(664 Reviews),2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Bachelor s or masters degree in Computer Science, Information Technology, or related fi...","IT Skills
Java
Big Data
Computer science
Cloud computing
Automation
Networking
GCP",21 DAYS AGO
